Cutoff,Expected Button Pushes
1,99.09037
2,49.458596
3,33.353497
4,25.52062
5,20.984008
6,18.167699
7,16.291852
8,15.014645
9,14.0834
10,13.507284
11,13.098658
12,12.822017
13,12.698962
14,12.653357
15,12.658984
16,12.756783
17,12.893096
18,13.04559
19,13.277263
20,13.50874
21,13.750932
22,14.038019
23,14.347222
24,14.661476
25,14.988873
26,15.346946
27,15.708526
28,16.065834
29,16.454543
30,16.830268
31,17.220439
32,17.640493
33,18.040593
34,18.44885
35,18.847333
36,19.28432
37,19.688196
38,20.120824
39,20.570898
40,20.990042
41,21.438809
42,21.89288
43,22.3299
44,22.770036
45,23.251126
46,23.663946
47,24.107699
48,24.586796
49,25.04932
50,25.491834
51,25.968401
52,26.418321
53,26.886343
54,27.346046
55,27.841684
56,28.271232
57,28.772143
58,29.226398
59,29.667788
60,30.166645
61,30.658291
62,31.120233
63,31.57567
64,32.053931
65,32.562634
66,33.002403
67,33.499271
68,34.003881
69,34.443182
70,34.932038
71,35.430791
72,35.901011
73,36.353372
74,36.861003
75,37.344392
76,37.814659
77,38.327199
78,38.786339
79,39.289463
80,39.751958
81,40.233091
82,40.726635
83,41.210138
84,41.702861
85,42.209053
86,42.620136
87,43.104169
88,43.667492
89,44.126693
90,44.625844
91,45.100927
92,45.561655
93,46.103324
94,46.624951
95,47.060105
96,47.549497
97,48.054223
98,48.526955
99,48.951204
